Date,variable,value,measure_type,Bedrooms,Source
1996-01-31,z_median_OneBR,125901,median,1,zillow
1996-02-29,z_median_OneBR,125829,median,1,zillow
1996-03-31,z_median_OneBR,126113,median,1,zillow
1996-04-30,z_median_OneBR,126090,median,1,zillow
1996-05-31,z_median_OneBR,124929,median,1,zillow
1996-06-30,z_median_OneBR,124193,median,1,zillow
1996-07-31,z_median_OneBR,123655,median,1,zillow
1996-08-31,z_median_OneBR,123441,median,1,zillow
1996-09-30,z_median_OneBR,123397,median,1,zillow
1996-10-31,z_median_OneBR,123817,median,1,zillow
1996-11-30,z_median_OneBR,124235,median,1,zillow
1996-12-31,z_median_OneBR,123681,median,1,zillow
1997-01-31,z_median_OneBR,122519,median,1,zillow
1997-02-28,z_median_OneBR,123196,median,1,zillow
1997-03-31,z_median_OneBR,123311,median,1,zillow
1997-04-30,z_median_OneBR,123334,median,1,zillow
1997-05-31,z_median_OneBR,123057,median,1,zillow
1997-06-30,z_median_OneBR,123530,median,1,zillow
1997-07-31,z_median_OneBR,123781,median,1,zillow
1997-08-31,z_median_OneBR,124680,median,1,zillow
1997-09-30,z_median_OneBR,126094,median,1,zillow
1997-10-31,z_median_OneBR,127368,median,1,zillow
1997-11-30,z_median_OneBR,126996,median,1,zillow
1997-12-31,z_median_OneBR,127305,median,1,zillow
1998-01-31,z_median_OneBR,128411,median,1,zillow
1998-02-28,z_median_OneBR,129723,median,1,zillow
1998-03-31,z_median_OneBR,129844,median,1,zillow
1998-04-30,z_median_OneBR,130677,median,1,zillow
1998-05-31,z_median_OneBR,131055,median,1,zillow
1998-06-30,z_median_OneBR,131422,median,1,zillow
1998-07-31,z_median_OneBR,131934,median,1,zillow
1998-08-31,z_median_OneBR,132615,median,1,zillow
1998-09-30,z_median_OneBR,133615,median,1,zillow
1998-10-31,z_median_OneBR,135107,median,1,zillow
1998-11-30,z_median_OneBR,136095,median,1,zillow
1998-12-31,z_median_OneBR,136845,median,1,zillow
1999-01-31,z_median_OneBR,137888,median,1,zillow
1999-02-28,z_median_OneBR,137597,median,1,zillow
